B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Nay,1791-02-17,0,,unknown,,,,,
Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Yea,,Nay,1791-02-17,0,,unknown,,,,,
Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,,Yea,1791-02-18,0,,unknown,,,,,
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,,Yea,1791-02-21,0,,unknown,,,,,
Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,,Nay,1791-02-23,0,,unknown,,,,,
Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,,Yea,1791-02-24,0,,unknown,,,,,
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,,Nay,1791-02-25,0,,unknown,,,,,
Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,,Yea,1791-02-25,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,,Nay,1791-02-25,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,,Nay,1791-02-25,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,,Nay,1791-03-03,0,,unknown,,,,,
Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,,,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Not Voting,Nay,,Yea,,Not Voting,1791-03-03,0,,unknown,,,,,
